Group,Individual,Side,Tooth,Facet,Asfc,Smc,epLsar,HAsfc,Tfv,Sq,Ssk,Sku,Sp,Sv,Sz,Sa,Smr,Smc,Sxp,Sal,Str,Std,Sdq,Sdr,Vm,Vv,Vmp,Vmc,Vvc,Vvv,Spd,Spc,S10z,S5p,S5v,Sda,Sha,Sdv,Shv
El Molo,EM01,R,M1,9,3.78144634,0.67512207,0.00268021,0.26,46999.74052,0.352786102,0.381730644,5.039202355,1.919032,1.990533,3.909565,0.263092741,1.627861295,0.420325516,0.628127136,14.82546241,0.843019111,167.9974869,0.214043869,2.138621185,0.025573496,0.445899496,0.025573496,0.279768179,0.407026821,0.038872674,0.010429694,3.416483372,1.923582816,1.014842802,0.908740014,217.2531965,91.59420998,2.901109118,1.679058447
El Molo,EM05,L,M1,9,3.789309806,0.67512207,0.000946537,0.54,52229.14699,0.384887452,-0.167824873,3.296560631,1.753305,1.739758,3.493063,0.30452865,2.165825454,0.472040351,0.794529704,14.04837969,0.807917322,136.0143667,0.219714834,2.20482311,0.017754264,0.489794264,0.017754264,0.334431581,0.441291419,0.048502845,0.01220593,6.183097199,2.154968722,1.290582737,0.864385985,145.5984789,76.034091,2.80418112,1.018806084
El Molo,EM08,R,M1,9,5.891979759,0.67512207,0.006617041,0.81,58888.8953,0.345688938,-0.027854487,3.480172039,6.388714,4.348207,10.736921,0.271622959,0.000125302,0.450741734,0.676323251,17.23665926,0.515062345,133.0000419,0.282158959,3.3845355,0.016055656,0.466797656,0.016055656,0.299374069,0.425479931,0.041317725,0.003461383,20.9524886,3.293883424,1.925325748,1.368557676,308.7164263,166.4083331,6.729426029,3.974624287
El Molo,EM14,R,M3,x,4.24145517,0.67512207,0.002700926,0.53,48165.84948,0.573811268,0.063207942,3.433819044,5.46746,2.574817,8.042277,0.450111428,0.000438556,0.757307441,1.048374162,16.77037175,0.748848532,106.4884323,0.254656803,2.801199073,0.029144213,0.786451213,0.029144213,0.496277336,0.722784665,0.063666548,0.001981186,17.10964267,4.213605346,2.809961963,1.403643384,420.8703468,380.0410447,16.02391336,19.50232686
El Molo,EM18,L,M1,10n,1.595479278,0.67512207,0.002829122,0.39,65145.45399,0.511317782,-0.141808277,3.979064248,2.579377,2.087395,4.666772,0.391411528,0.334581825,0.6276702,1.047470178,14.89647207,0.571493836,43.75439801,0.163964594,1.238057905,0.025958437,0.653628437,0.025958437,0.433461325,0.588156675,0.065471762,0.003894056,4.255164693,2.675361492,1.462895161,1.212466331,335.9694002,210.3258491,8.688605989,4.139314435
El Molo,EM19,L,M1,10n,1.75546216,0.881792091,0.002780892,0.46,64703.77135,0.51118235,-0.14796216,3.992404463,7.017829,3.576321,10.59415,0.391428301,6.27E-05,0.631627576,1.047947579,14.91773339,0.572890556,43.75234646,0.200768763,1.583802113,0.025540369,0.657168369,0.025540369,0.431044834,0.590981166,0.066187203,0.001001979,21.9771653,5.695487202,2.931787464,2.763699738,665.7254728,759.0146671,16.70835951,42.02872261
El Molo,EM24,R,M1,9,4.775335086,0.67512207,0.004394137,0.61,54709.3505,0.52018423,0.120017628,3.396638524,2.711101,2.986588,5.697689,0.405372997,0.157850646,0.690425512,1.001729845,18.77010887,0.399583213,116.5060357,0.258738027,2.952205304,0.027243645,0.717669645,0.027243645,0.433849885,0.658256115,0.059413529,0.006194054,9.359697171,3.172956203,1.93201178,1.240944423,243.9076148,115.5997283,5.03062744,2.388846575
El Molo,EM25,L,M1,x,1.329383904,1.667138172,0.0043058,0.26,43630.41839,0.363736963,0.056005814,3.307693509,1.623779,1.326791,2.95057,0.284798818,4.439425915,0.448599785,0.738083154,13.7150651,0.6458032,95.25483071,0.141067432,0.960461392,0.02024367,0.46884367,0.02024367,0.319865388,0.426072612,0.042771058,0.007127717,1.768979582,1.710858768,0.88728704,0.823571728,352.415661,130.8384158,5.717301387,1.998875232
El Molo,EM31,L,M1,x,3.214656803,1.116018115,0.004945027,0.2,48665.76283,0.334888423,-0.438306265,3.204775746,1.154096,1.632609,2.786705,0.26496735,34.59663131,0.403645833,0.778158096,11.92473434,0.473299591,95.48565106,0.187939588,1.711665782,0.012491754,0.416137754,0.012491754,0.300631731,0.369196269,0.046941485,0.01250197,1.066911059,1.134964872,0.52305997,0.611904902,158.2101907,78.38446546,1.521763118,1.121532916
Luhya,PT02,R,M1,x,3.092755643,0.67512207,0.002020725,0.24,48900.76841,0.295546392,-0.616509198,5.863138793,2.187492,3.419191,5.606683,0.214644276,0.094270928,0.334105184,0.727169616,11.80215515,0.154616653,140.5023988,0.214418413,1.931560445,0.014946137,0.349051138,0.014946137,0.223094913,0.304406087,0.044645051,0.003575244,7.293778191,3.641880076,1.323271637,2.318608439,259.7797593,243.2952296,4.782776084,4.171118951
